Unnamed: 0,channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,is_reply,label
12694,UC-z1ubmS-iHMVr83EEwRS2g,betulllll,betulllll,ugwfugctbprudfopuzvaaabag,@Nadyaptrimalika,https://yt3.ggpht.com/vpAW-2kQOcQAulUVNmtGUkLuIKf6am6et1oB5GJu5gQUP8OvNbsqgVwaEURzaMMWs-zf56iI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Nadyaptrimalika,{'value': 'UCmflfItOSUWsHjHp0IwOf1Q'},True,none,0,2018-12-17T09:49:26Z,2018-12-17T09:49:26Z,True,netral
20225,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Yang jelas liat nih hahha kocak tapi keren pushagrief fuxx u search deh,jelas liat nih haha kocak keren pushagrief fux search deh,@nugrohoprihatianto3772,https://yt3.ggpht.com/ytc/AIdro_lBoVzz7hJJ3wYIQmIHMV0VHDbIvBjZymmeVvw33HI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@nugrohoprihatianto3772,{'value': 'UC-ETsOT5mK-OfMNXa1OvXvg'},True,none,0,2016-12-13T03:22:43Z,2016-12-13T03:22:43Z,False,positif
7714,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,"Hi rich brian;) <a href=""https://www.youtube.com/watch?v=fNX6Gu2F7A8&amp;t=52"">0:52</a>",hi rich brian,@sahrilimam5143,https://yt3.ggpht.com/ytc/AIdro_l_qUB7UGalothFqg8n9kHLrXO39gtS_VE6xTzdm7wBxg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@sahrilimam5143,{'value': 'UCQNVIQeoChjWypM20kCWZSw'},True,none,6,2020-07-27T18:43:14Z,2020-07-27T18:43:14Z,False,positif
26953,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,keren banget anjink,keren banget anjink,@achmadraihan6625,https://yt3.ggpht.com/ytc/AIdro_mQOTcC5bo56tC758EnQc9rNm6jwbJIqj8cwKdDG3L2wg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@achmadraihan6625,{'value': 'UC1ZWdSz72fwLDSQuYL_84Bw'},True,none,0,2016-01-26T09:18:56Z,2016-01-26T09:18:56Z,False,positif
38526,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,siapa sih yang baju pink...??,siapa sih baju pink,@agungramadhani5989,https://yt3.ggpht.com/ytc/AIdro_mYy_jLX3ju_OCQSPVV0vXxyGBOMQA2z92LWvXsa2m8Fjs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@agungramadhani5989,{'value': 'UCpFrh01aTnIy03eGJUy19DA'},True,none,0,2015-12-11T06:34:04Z,2015-12-11T06:34:04Z,False,netral
24389,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,rewind 2016 ajak saya yaa,rewind ajak ya,@irfanfadillah2142,https://yt3.ggpht.com/ytc/AIdro_nEyVJN6PcUw25yPrzWM6aH8yfteNZKmxk77xZpnMRfbw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@irfanfadillah2142,{'value': 'UCbMYHGJu6YBLEScWnPo0yYg'},True,none,0,2016-04-27T10:09:34Z,2016-04-27T10:09:34Z,False,netral
3580,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,"Om Deddy Corbuzier muncul di setiap YouTube rewind, knp yh?",om dedy corbuzier muncul setiap youtube rewind knp yh,@Galauteruss,https://yt3.ggpht.com/j-o89Emc1lhcmcbPeKo1akZRKUAfjKY8qsQyaEVIuadxYb8BPRuQcExRJfOvTyRhSSEYZggu=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Galauteruss,{'value': 'UCkT-cGOtiTxQ3Ijsi4ZhdLQ'},True,none,0,2021-01-01T08:26:49Z,2021-01-01T08:26:49Z,False,netral
12639,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Yg 2017 gak ada ya,yg ada,@rizzalfiqkysyahputra132,https://yt3.ggpht.com/ytc/AIdro_nEV9dJczjSPUpfFRt_2xexa-FprTWjAA3v4mAgc5Ox7bI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@rizzalfiqkysyahputra132,{'value': 'UCwQSzOszkr4qp7DkAFL_xvg'},True,none,0,2018-12-17T15:09:40Z,2018-12-17T15:09:40Z,False,
5722,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Wkwkwkwkwkkw baru nonton,wkwkwkwkwkw baru nonton,@nashrullahabdulhafidh3782,https://yt3.ggpht.com/ytc/AIdro_ksIhEyrQ7n8fzI2UHVQgMcSO0Fnyvd4t7N8Gzism9FKxM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@nashrullahabdulhafidh3782,{'value': 'UCjHjUNNbf8qUEmDv0P637ww'},True,none,1,2020-12-29T07:42:48Z,2020-12-29T07:42:48Z,False,
1805,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,"kangen rewind yang dulu, ada bayu skak, banyak orang2 legend di sini",kangen rewind dulu bayu skak banyak orang legend sini,@reisyasandrika4866,https://yt3.ggpht.com/ytc/AIdro_lFGKJsM7cop3SZb5fGUJMq4IEfj8Y7lx6R6sEwNz17xUw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@reisyasandrika4866,{'value': 'UCEFB-jSUsd-p_U-tDbbKesA'},True,none,1,2021-12-31T07:24:44Z,2021-12-31T07:24:44Z,False,
